kljuc;naziv
361;Ambalaža u uporabi
362;Autogume u uporabi
363;Otpis sitnog inventara
364;Otpis ambalaže
365;Otpis autoguma
369;Vrijednosno usklaðenje sitnog inventara, ambalaže i autoguma
37;PREDUJMOVI DOBAVLJAÈIMA SIROVINA I MATERIJALA, REZERVNIH DIJELOVA, SITNOG INVENTARA I AUTOGUMA
370;Predujmovi dobavljaèima materijala
371;Predujmovi dobavljaèima rezervnih dijelova
372;Predujmovi dobavljaèima sitnog inventara
373;Predujmovi dani uvozniku za nabavu sirovina i materijala, dijelova i inventara
374;Predujmovi inozemnim dobavljaèima
379;Vrijednosno usklaðenje danih predujmova
4;TROŠKOVI PREMA VRSTAMA, FINANCIJSKI I OSTALI RASHODI
40;MATERIJALNI TROŠKOVI
400;Troškovi sirovina i materijala (za proizvodnju dobara i usluga)
4000;Osnovni materijali i sirovine
4001;Dijelovi i sklopovi
4002;Poluproizvodi za ugradnju
4003;Pomoæni materijali (mazivo, ljepila, svrdla, pile, noževi, brusne ploèe i dr.)
4004;Potrošni materijal za èišæenje i održavanje
4005;Materijal za HTZ zaštitu, radna i zaštitna odjeæa i obuæa
4006;Materijal pogonske administracije i menadžmenta (uredski potrošni i sl.)
4007;Troškovi oblikovanja proizvoda za posebne kupce
4008;Materijali u pomoænoj djelatnosti (za restoran i dr.)
4009;Ostali izravni i opæi troškovi pogona - uslužne jedinice (HSFI t. 10.17 i MRS 2, t. 10. do 19.)
401;Materijalni troškovi administracije, uprave i prodaje
4010;Uredski materijal (papir, registratori, olovke, tiskanice, toneri, ulošci, kalendari, rokovnici i sl.)
4011;Materijal i sredstva za èišæenje i održavanje
4012;Troškovi otpisa sitnog inventara
4013;Ambalažni materijal, vrpce za blagajne, blokovi papira, pisaèi, naljepnice, etikete i dr.
4014;Voda (izvorska) za piæe
4015;Uniformirana radna odjeæa i obuæa
4016;Troškovi opomena
4017;Troškovi ukrasnog bilja
4019;Ostali materijalni troškovi trgovine
402;Troškovi istraživanja i razvoja (Zak. o znan - Nn. br. 46/07.)
4020;Troškovi projekta za temeljna istraživanja proizvoda
403;Troškovi ambalaže
4030;Troškovi neodvojive ambalaže u proizvodnji (boce, limenke, kutije i dr.)
4031;Troškovi paleta, gajbi i sl.
404;Trošak sitnog inventara, ambalaže i autoguma
4040;Troškovi sitnog inventara,
4041;Troškovi ambalaže (povratne, posebne) - otpis
4042;Troškovi autoguma (za kamione, autobuse, teretna vozila i strojeve)
4044;Trokš. auto guma (neto + 30% PDV) za sluèaj plaæe
4045;70% troška autoguma za osobne automobile i dr. sredstva prijevoza za potrebe administr., uprave i prodaje
4046;30% troška inventara i autoguma za osobne automobile +30% PDV-a
405;Potrošeni rezervni dijelovi i materijal za održavanje
4050;Potrošeni rezervni dijelovi za popravak vlastite opreme
4051;Materijal za održavanje opreme i objekata
4054;Trošak rez. dijelova (neto + 30% PDV) za sluèaj plaæe
4055;70% troškova rezervnih dijelova i materijala za popravak automob., plovila i zrakopl. koji služe za osobni prijevoz poduzet. i zaposlenih (èl. 7., st. 1., t. 4. ZoPD)
4056;30% troška rezervnih dijelova i materijala za održavanje automobila i dr. za osobni prijevoz +30% PDV-a
4057;Troškovi zamjene u jamstvenom roku
4058;Potrošeni vlastiti proizvodi i roba za održavanje
4059;Ostali troškovi rezervnih dijelova
406;Potrošena energija u proizvodnji dobara i usluga
4060;Elektrièna energija
4061;Plin, para, briketi i drva
4062;Mazut i ulje za loženje
4063;Dizelsko gorivo, benzin i motorno ulje (za stroj. i sl.)
4067;Trošak goriva za teretna vozila (kamione, autobuse, strojeve, brodove i sl.)
4069;Ostali troškovi energije u proizvodnji
407;Potrošena energija u administraciji, upravi i prodaji
4070;Trošak elektriène energije
4071;Plin, toplinska energija, briketi, drva
4074;Gorivo za osob. aut. (neto + 30% PDV) za sluè. plaæe
4075;70% troškova diesela i benzina za pogon automobila, plovila i zrakoplova za osobni prijevoz poduzetnika i zaposlenih te za istu namjenu automobila u najmu
4076;30% goriva za osobni prijevoz +30% PDV-a
4077;Trošak goriva za teretna vozila, strojeve i brodove
4079;Ostali troškovi energije
408;Troškovi energije na pomoænim mjestima u proizvodnji
409;Odstupanja od standardnog troška
41;OSTALI VANJSKI TROŠKOVI (TROŠKOVI USLUGA)
410;Troškovi telefona, prijevoza i sl.
4100;Troškovi telefona, interneta i sl.
4101;Poštanski troškovi
4102;Prijevozne usluge u cestovnom prometu
4103;Prijevozne usluge željeznicom
4104;Prijevozne usluge brodara
4105;Prijevozne usluge zrakoplova
4106;Troškovi specijalnih prijevoza
4107;Usluge taksi- prijevoza
4108;Usluge dostave i logistike
4109;Ostale usluge prijevoza
411;Troškovi vanjskih usluga pri izradi dobara i obavljanju usluga
4110;Usluge dorade (oplemenjivanja), izrade, prerade i sl. u proizvodnji i izgradnji
4111;Usluge kooperanata na zajednièkim uslugama prema treæima
4112;Usluge studentskog i omladinskog servisa i na izradi proizvoda
4113;Usluge pripreme teksta za tisak, za web. i sl.
4114;Grafièke usluge tiska i uveza
4115;Usluge hotela i smještaja radnika na terenu
4116;Usluge za iznajmljeni kapacitet
4117;Usluge rada vanjskog osoblja
4118;Usluge izrade ili popravka po ugovoru o djelu
4119;Ostale vanjske usluge na izradi dobara i proizvodnih usluga
412;Usluge održavanja i zaštite (servisne usluge)
4120;Nabavljene usluge tekuæeg održavanja (bez vlastitog materijala i dijelova)
4121;Nabavljene usluge za investicijsko održavanje i popravke (bez vlastitog materijala i dijelova)
4122;Usluge èišæenja i pranja
4123;Usluge održavanja softvera i web stranica
4124;Vanjske usluge popravka prodanih a neispravnih dobara u jamstvenom roku
41244;Servis osob. automob. (neto + 30% PDV) za sluèaj plaæe u naravi
4125;70% usluga servisa za održavanje automobila, plovila i zrakoplova koji služe za osobni prijevoz poduzetnika i zaposlenih
4126;30% usluga održavanja prijevoznih sredstava za osobni prijevoz + 30% PDV-a
4127;Usluge zaštite na radu i održavanja okoliša
4128;Usluge zaštitara na èuvanju imovine i osoba
4129;Ostale servisne usluge i usluge osoba
413;Usluge registracije prijevoznih sredstava i troškovi dozvola
4130;70% troška registracije osobnih automobila, plovila i zrakoplova za prijevoz osoba poduzetnika (osim osiguranja)
4131;30% troška registracije sred. za osobni prijevoz + 30% PDV-a (osim troškova osiguranja)
41314;Troškovi registr. (neto + 30% PDV) - plaæa
4132;Trošak registracije dostavnih i teret. vozila i autobusa (sveukupno) i automob. bez poreznog ogranièenja
4133;Troškovi registracije plovila
4134;Troškovi registracije zrakoplova
4135;Troškovi dozvola za prometne smjerove
4136;Troškovi koncesija, licencija i dr. prava na prijevoz
4137;Troškovi nadoknada za ceste, takse i sl.
4139;Ostali troškovi registracije prometala
414;Usluge zakupa - lizinga
4140;Zakupnine - najamnine nekretnina
4141;Zakupnine opreme
4142;Usluge operativnog (poslovnog) lizinga opreme
4143;70% usluga operativnog lizinga automobila, brodova i zrakoplova za osobni prijevoz osoba poduzetnika
4144;Usluge operat. najma osob. automob. (neto + 30% PDV) za sluèaj plaæe
4145;70% rent-á-car usluge prijevoza osoba
4146;30% usluga operativnog lizinga sred. za osobni prijevoz + 30% PDV-a
4147;30% rent-á-car usluga prijevoza osoba + 30% PDV-a
4148;Rent-á-car za prijevoz tereta
4149;Usluge najma informatièke opreme
415;Usluge promidžbe, sponzorstva i troškovi sajmova
4150;Troškovi promidžbe putem tiskovina, TV, plakata i sl.
4151;Usluge promidžbenih agencija
4152;Troškovi promidžbe u inozemstvu
4153;Trošak sponzoriranja športa i kulture u cilju promidžbe
4154;Usluge unapreðenja prodaje
4155;Usluge istraživanja tržišta
4156;Usluge sajmova (nadoknada za prostor)
4157;Usluge oblikovanja i ureðenja izložbenog i prodajnog prostora
4158;Troškovi promidžbe najmom medija (stranica portala i sl.)
4159;Ostali troškovi promidžbe (osim reprezentacije, dnevnica na službenom putu i sl.)
416;Intelektualne i osobne usluge
4160;Troškovi drugih dohodaka (ugovora o djelu, akvizitera, trgov. putnika, konzultanata)
4161;Autorski honorari (pisana, govorna, prijevodi i dr.)
4162;Usluge specijalistièkog obrazovanja, znanstvenoistraživaèke usluge, usluge informacija i sl.
4163;Konzultantske i savjetnièke usluge
4164;Knjigovodstvene usluge
4165;Usluge poreznih savjetnika
4166;Usluge revizije i procjene vrijednosti poduzeæa
4167;Odvjetnièke, bilježnièke i usluge izrade pravnih akata
4168;Naknade za korištenje prava intelektualnog vlasništva (licencije, ind. prava., robni znak i sl.)
4169;Usluge vještaèenja, administracijske usluge, i dr. intelektualne usluge
417;Troškovi komunalnih i sliènih usluga
4170;Komunalna naknada (za financ. izgradnje)
4171;Odvoz smeæa i fekalija
4172;Voda i odvodnja
4173;Održavanje zelenila
4174;Usluge tržnica
4175;Garažiranje i parkiranje vozila
4176;Deratizacija i dezinfekcijske usluge
4177;Dimnjaèarske i ekološke usluge
4178;Veterinarske, sanitarne i usluge zbrinjavanja otpada
4179;Ostale komunalne i ekološke usluge
418;Usluge reprezentacije - ugošæivanja i posredovanja
4180;70% vanjskih usluga ugošæenja (reprezentacije) + 70% PDV-a
4181;30% vanjskih usluga ugošæenja (reprezentacije)
4184;Usluge posredovanja pri nabavi dobara i usluga
4185;Usluge posredovanja pri prodaji dobara i usluga
4186;Usluge agenata i detektiva
4187;Troškovi provizija za usluge
419;Troškovi ostalih vanjskih usluga
4190;Usluge kontrole kakvoæe i atestiranja dobara
4191;Usluge studentskog servisa
4192;Hotelske usluge (osim reprezentacije)
4193;Vanjskotrgovaèke usluge
4194;Špediterske usluge pri izvozu i sl.
4195;Troškovi oglašavanja u tisku za slobodna radna mjesta, objava fin. izvješæa i sl. (osim promidžbe)
4196;Troškovi korištenja javnih skladišta, luka, pristaništa, hlaðenja i sl.
4197;Trošak autoputa, tunela i mostarina
4198;Troškovi fotokopiranja, prijepisa, izrade naljepnica i fotografija i sl.
4199;Ostali nespomenuti vanjski troškovi - usluge
42;TROŠKOVI OSOBLJA - PLAÆE
420;Neto plaæe i nadoknade
4200;Troškovi neto plaæa uprave i prodaje
4201;Troškovi neto plaæa proizvodnje
4202;Ostali povremeni primitci - potpore i sl.
421;Troškovi poreza i prireza
4210;Uprava i prodaja
4211;Proizvodnja
4212;Ostali povremeni primitci - potpore i sl.
422;Troškovi doprinosa iz plaæa
4220;Uprava i prodaja
4221;Proizvodnja
4222;Ostali povremeni primitci i sl.
423;Doprinosi na plaæe
4230;Uprava i prodaja
4231;Proizvodnja
4232;Ostali povremeni primitci - potpore i sl.
4235;Doprinosi za beneficirani radni staž
424;Bruto plaæe (privremeno v. napom. 2)
43;AMORTIZACIJA
430;Amortizacija nematerijalne imovine
4300;Amortizacija izdataka za razvoj
4301;Amortizacija koncesije, patenata i dr. prava
4302;Amortizacija softvera i ost. prava
4303;Amortizacija goodwila
4304;Amortizacija ostale nematerijalne imovine
431;Amortizacija materijalne imovine
4310;Amortizacija graðevina
4311;Amortizacija postrojenja
4312;Amortizacija opreme
4313;Amortizacija alata i inventara
4314;Amortizacija transportnih sredstava
4315;Amortizacija brodova
4316;Amortizacija poljoprivredne opreme
4319;Amortizacija ostale mater. imovine
432;Amortizacija osobnih automobila i dr. sredstava za osobni prijevoz
4320;70% amortizacije osob. aut. i dr. sred. prijevoza
4321;30% amortizacije osob. aut. i dr. sred. prijevoza
4322;Dio amortizacije osob. aut. i dr. sred. prijevoza u vrijednosti iznad 400.000,00 kn
4323;Amortizacija (otpis) nepriznatog PDV-a
4324;Amortiz. osob. aut. za sluè. plaæe (neto + nepriz. PDV)
433;Amortizacija objekata i opreme uprave i prodaje
4330;Amortizacija graðev. objekata
4331;Amortizacija raèunala, raèunalne opreme i programa te raèunalne mreže
4332;Amortizacija osobnih automobila
4333;Amortizacija ostale opreme (pokuæstvo, telefonija i dr.)
434;Poveæana amortizacija s temelja revalorizacije
435;Amortizacija biološke imovine (vinogradi, voænjaci, osnovno stado i sl.)
436;Amortizacija iznad porezno dopuštene
44;VRIJEDNOSNO USKLAÐENJE DUGOTRAJNE I KRATKOTRAJNE IMOVINE
440;Vrijednosno usklaðenje dugotrajne nematerijalne imovine (018)
4400;Vrijednosno usklaðenje prava i dr.
4401;Vrijednosno usklaðenje goodwill
4402;Vrijednosno usklaðenje ostale nemat. imov.
441;Vrijednosno usklaðenje dugotrajne materijalne imovine
4410;Vrijednosno usklaðenje nekretnina (028)
4411;Vrijednosno usklaðenje postrojenja, opreme, alata, pogonskog inventara i transportne imovine (038)
4412;Vrijednosno usklaðenje biološke imovine (048)
4413;Vrijednosno usklaðenje ulaganja u nekretnine (058)
4414;Vrijednosno usklaðenje ostale mater. imovine
442;Vrijednosno usklaðenje dugotrajnih potraživanja (veza sa 078)
444;Vrijednosno usklaðenje depozita u bankama, mjenica, èekova i sl. (109 i dio 119)
445;Vrijednosno usklaðenje kratkotrajnih potraživanja
4450;Vrijednosna usklaðenja potraživanja od kupaca koja nisu naplaæena dulje od 120 dana od dospijeæa (veza s 129)
4451;Vrijednosna usklaðenja kratkoroènih potraživanja od kupaca i drugih koja su utužena (prije zastare, koja su u ovršnom postupku, otvoren je steèaj, nagodba i sl. - dio 129, 139 i 159) i svote do 5.000,00 kn
4452;Vrijednosna usklaðenja zastarjelih potraživanja (dio sa 129, 139 i 159) - porezno nepriznata
446;Vrijednosno usklaðenje zaliha (veza s 319, 329, 359 i 369)
447;Vrijednosno usklaðenje danih predujmova (veza s 379)
45;REZERVIRANJA (v. skupinu 28)
450;Troškovi dugoroènog rezerviranja za rizike u jamstvenom (garancijskom) roku (èl. 11., st. 2. ZoPD)
451;Troškovi dugoroènog rezerviranja za gubitke po zapoèetim sudskim sporovima (èl. 11., st. 2. ZoPD)
452;Troškovi dugoroènog rezerviranja za obnovu prirodnog bogatstva (èl. 11., st. 2. ZoPD)
453;Troškovi dugoroènog rezerviranja za otpremnine (èl. 11., st. 2. ZoPD)
454;Troškovi dugoroè. rez. za neiskorišteni godišnji odmor (èl. 11., st. 5. ZoPD i MRS 19) - vidi raè. 298
455;Troškovi dugoroènog rezerviranja za restrukturiranje poduzeæa (MRS 37, t. 72. i HSFI t. 16.22)
456;Troškovi dugoroènog rezerviranja za mirovine i sliène troškove - obveze (MRS 19)
457;Troškovi rezerviranja po štetnim ugovorima (HSFI 16.21.)
459;Troškovi ostalih dugoroènih rezerviranja i troškovi rizika
46;OSTALI TROŠKOVI POSLOVANJA
460;Dnevnice za službena putovanja i putni troškovi
4600;Dnevnice za službena putovanja i troškovi noæenja u Hrvatskoj
4601;Dnevnice za službena putovanja u inozemstvu
4602;Troškovi uporabe vlastitog automobila na službenom putu
4603;Nadoknada za uporabu privatnog automobila u poslovne svrhe za lokalnu vožnju
4604;Doprinos za zdravstveno osiguranje na službena putovanja u inozemstvo
4605;Troškovi noæenja (po raèunu hotela i dr.)
4606;Ostali troškovi na službenom putu (trošak autoceste, tunela, parkiranja, trajekta i dr.)
4607;Troškovi službenog puta vanjskih suradnika (bruto s porezima i doprinosima)
461;Nadoknade troškova, darovi i potpore
4610;Troškovi prijevoza na posao i s posla
4611;Terenski dodatak - pomorski dodatak
4612;Nadoknade za odvojeni život
4613;Stipendije, nagrade uèenicima i studentima
46130;Stipendije i nagrade uèenicima i studentima do neoporezivih svota
46131;Stipendije i nagrade uèenicima i studentima iznad neoporezivih svota
4614;Otpremnine (zbog odlaska radnika u mirovinu i otpremnine zbog danih otkaza i tehnološkog viška - èl. 119. ZOR-a, te otpremnine zbog ozljede ili profesionalne bolesti (èl. 80. ZOR-a)
4615;Darovi djeci i sliène potpore (ako nisu dohodak)
4616;Prigodne nagrade (božiænice, uskrsnice, dar u naravi (do 400,00 kn god., regres za god. odmor, jubilarne nagrade i sl., do 2.500,00 kn god.)
4617;Potpora zbog bolesti, invalidnosti, smrti, elementarnih nepogoda i sl.
4618;Potpore i pomoæi iznad neoporezivih svota
4619;Ostali troškovi zaposlenika
462;Troškovi èlanova uprave
4620;Nadoknade èlanovima nadzornog odbora
4621;Nadoknade vanjskim èlanovima uprave
4622;Nadoknade steèajnim upraviteljima
4623;Nadoknade prokuristima, èlanovima skupštine društva i dr.
4624;Troškovi usluga vanjske uprave (po raèunu)
4625;Troškovi honorara vanjskim èlanovima uprave
4626;Godišnje nagrade èlanovima uprave
463;Troškovi reprezentacije i promidžbe (interne)
4630;70% troškova reprezentacije u darovima (robi i proizvodima + 70% PDV-a
4631;70% troškova vlastitih usluga za reprezentaciju + 70% PDV-a
4632;70% troškova reprezentacije od uporabe vlastitih brodova, automobila, nekretnina i sl. + 70% PDV-a
4633;30% od svih neto-troškova reprezentacije (vlastitih)
4635;Troškovi promidžbe (u katalozima, letcima, nagradne igre)
4636;Troškovi promidžbe u proizvodima ili robi (s oznakom "nije za prodaju" s nazivom tvrtke ili proizvoda pojedinaène vrijedn. do 80,00 kn - èaše, pepeljare, stoljnjaci, podmetaèi, olovke, rokovnici, upaljaèi, privjesci i sl.)
464;Premije osiguranja
4640;Troškovi osiguranja dugotrajne materijalne i nematerijalne imovine
4641;Premije osiguranja osoba (opasni poslovi, prenošenje novca, putnici i sl.)
4642;Premije osiguranja prometnih sredstava (ukljuèivo i kasko)
4643;Transportno osiguranje dobara
4644;Premije za zdravstveno osiguranje
4645;Troškovi premija životnog osiguranja (ugovaratelj i korisnik je trgovaèko društvo)
4646;Premije dobrovoljnog mirov. osig. (do 6.000 kn godišnje po radniku - èl. 10. Zak. o porezu na dohodak - Nar. nov., br. 80/10.)
4647;Premije za dokup mirovine zaposlenicima (III. stup) MRS 19 t. 43. i 44.
4649;Premije za ostale oblike osiguranja
465;Bankovne usluge i troškovi platnog prometa
4650;Troškovi platnog prometa
4651;Troškovi provizija (pri kupnji deviza, brokeru i dr.)
4652;Bankovne usluge (za inozemni platni promet, teèajnu maržu i sl.)
4653;Troškovi provizija izdavatelja kreditnih kartica
4654;Troškovi obrade kredita
4655;Troškovi akreditiva
4656;Troškovi bankovne garancije
4657;Ostali bankovni troškovi
466;Èlanarine, nadoknade i slièna davanja
4660;Èlanarine komori (HGK ili HOK) i dopr. za javne ovlasti
4661;Èlanarine udrugama i strukovnim komorama
4662;Nadoknada za opæekorisnu funkciju šuma (0,07%)
4663;Èlanarina turistièkoj zajednici
4664;Nadoknada za korištenje mineralnih sirovina
4665;Prièuva za održavanje zgrade (Zakon o vlasništvu - Nar. nov., br. 91/96. do 38/09.)
4666;Dozvole za korištenje autocesta, atesta, certifikata i sl.
4667;Èlanarina za kreditne i potrošaèke kartice
4668;Spomenièka renta
4669;Ostala davanja
467;Porezi koji ne ovise o dobitku i pristojbe
4670;Porez na tvrtku odnosno naziv
4671;Porez (imovinski) na cestovna vozila, plovne objekte i zrakoplove
4672;Porez na reklame koje se istièu na javnim mjestima
4673;Naknade Fondu za ambalažu (prema materijalu, po jed. proizv., povratna i poticajna ambalaža)
4674;Porez na kuæe za odmor
4675;Trošak poreza koji je ugovorno preuzet pri prodaji (npr. 5% p.p.n.)
4676;Trošak PDV-a koji se ne može priznati
46760;Trošak PDV-a iz vlastite potrošnje (ako veæ nije sadržan u trošku)
46761;Trošak PDV-a za koji je prestalo pravo na pretporez
46762;30% PDV-a na osobne automobile i dr. sredstva osobnog prijevoza
46763;PDV na osobne automobile i dr. sred. prijevoza na dio n. v. iznad 400.000,00 kn
4677;Porez ili carina pri izvozu
4678;Troškovi naknadno utvrðenih poreza (npr. PDV, posebni i dr. porezi, osim poreza na dobitak)
4679;Ostali porezi i pristojbe
468;Troškovi prava korištenja (osim najmova)
4680;Troškovi koncesije
4681;Troškovi franšiza, know howa, patenata, uporabe imena, znaka i dr.
4682;Troškovi prava na proizvodni i sl. postupak
4683;Trošak prava na model, nacrt, formulu, plan, iskustvo i sl.
4684;Trošak HRT pretplate
4685;Troškovi licenciranih prava
4686;Troškovi prava uporabe raèunalnih programa
4689;Ostali troškovi prava korištenja
469;Ostali troškovi poslovanja - nematerijalni
4690;Troškovi obrazovanja i izobrazbe zaposlenika (struèno obrazovanje, seminari, simpoziji, struèni ispiti, struèno usavršavanje, prekvalifikacije, fakulteti, poslijediplomski, doktorati, uèenje jezika i sl.)
46900;Opæe obrazovanje
46901;Posebno obrazovanje
4691;Troškovi za priruènike, èasopise i struènu literaturu
4692;Troškovi službenih glasila
4693;Sudski troškovi i pristojbe
4694;Troškovi zdravstvenog nadzora i kontrola proizvoda, robe, usluge i sl.
4695;Troškovi obveznih lijeènièkih pregleda
4696;Troškovi sistematskih kontrolnih lijeènièkih pregleda zaposlenika
4697;Troškovi osnivanja (bilježnik, sud, oglasi, odvjetnik)
4698;Troškovi licenciranja, certifikata i sl.
4699;Ostali nespomenuti nematerijalni troškovi (ulaznice za sajmove i dr.)
47;FINANCIJSKI RASHODI
470;Kamate od povezanih društava
4700;Ugovorene kamate
4701;Zatezne kamate (èl. 7., st. 1., t. 9. ZoPD)
4702;Kamate - porezno nepriznate
4703;Kamate koje se uraèunavaju u zalihe (MRS 23. t.11. i HSFI t. 10.22.)
471;Teèajne razlike iz odnosa s povezanim društvima
472;Ostali troškovi iz odnosa s povezanim poduzetnicima
4720;Rashodi financiranja, troškovi popusta i naknadnih odobrenja s povezanim poduzetnicima
4721;Troškovi usluga uprave koncerna i sl.
473;Kamate iz odnosa s nepovezanim društvima
4730;Kamate na kredite banaka
4731;Kamate iz lizing poslova
4732;Kamate na zajmove pravnih osoba
4733;Kamata na pozajmice èlanova društva i dionièara
4734;Kamate na zajmove od fizièkih osoba
4735;Diskontne kamate po mjenicama i dr. vrijednosnim papirima
474;Zatezne kamate
4740;Zatezne kamate iz trgovaèkih ugovora
4741;Zatezne kamate na poreze, doprinose i dr. davanja
4742;Zatezne kamate izmeðu povezanih osoba (por. neprizn.)
4743;Ostale zatezne kamate
475;Teèajne razlike iz odnosa s nepovezanim društvima
4750;Negativne teèajne razlike iz obveza za nabave u inozemstvu
4751;Negativne teèajne razlike iz kreditnih obveza
4752;Negativne teèajne razlike iz potraživanja u inozemstvu
4753;Negativne teèajne razlike za ostalo (npr. iz blagajnièkog poslovanja, razlika izmeðu kupovnog i srednjeg teèaja banke i dr.)
4754;Negativne teèajne razlike nastale na stanjima deviznog raèuna i devizne blagajne
476;Gubitci iz ulaganja u dionice, udjele, obveznice i dr. vrijednosne papire (koji su prodani ispod troška nabave - èl. 10. ZoPD
477;Troškovi diskonta i nagodbi
4770;Troškovi diskonta pri prodaji potraživanja (faktoring)
4771;Troškovi iz financijskih nagodbi
4772;Ostali troškovi
478;Nerealizirani gubitci (rashodi) od financ. imovine
4780;Gubitci od smanjenja - vrijednosnog usklaðenja fin. imovine za trgovanje (MRS 39. t. 55a. i HSFI t. 9.22b)
4781;Troškovi smanjenja fin. imovine zbog ugovora o poteškoæama (HSFI t. 9.22a i MRS 39. t. 55b.)
4782;Gubitci od smanjenja vrijednosti ostale financ. imov.
479;Ostali financijski troškovi
4790;Rashodi s osnove valutne klauzule po obvezama i kreditima
4791;Rashodi s osnove usklaðenja obveza temeljem valutne i sl. klauzule (prema dobavljaèima, za predujmove i sl.)
4792;Troškovi valutne klauzule iz tražbina ili obveza
4793;Troškovi burzovnih usluga, emisije vrijednosnih papira i sl.
4794;Troškovi carine inozemnog financijskog i operativnog lizinga
4799;Ostali nespomenuti financijski troškovi
48;OSTALI POSLOVNI RASHODI
480;Trošak naknadnih popusta, sniženja, reklamacija i troškovi uzoraka
4800;Naknadno odobreni popusti i odobrenja
4801;Troškovi nagodbe (razlike iz sniženja)
4802;Troškovi nenadoknaðenih jamstava za prodana dobra
4803;Troškovi naknadnih reklamacija
4804;Troškovi uzoraka zbog kontrole i pregleda, izlaganje radi prodaje i sl.
481;Otpisi vrijednosno neusklaðenih potraživanja
4810;Otpisi nenaplaæenih jamstava i drugih osiguranja
4811;Izravni otpisi nenaplaæenih potraživanja od kupaca i drugih koja nisu vrijednosno usklaðena
4812;Troškovi ostalih otpisa
482;Rashodi - otpisi nematerijalne i materijalne imovine
4820;Neamortizirana vrijednost rashodovane, uništene ili otuðene dugotrajne imovine
4821;Otpisi imovine izvan uporabe - rashod
4822;Gubitak od prodane dug. imov. koja se ne amortizira
4823;Gubitak od prodaje ost. dug. mat. i nemat. imovine
4824;Otpisi materijala i robe - rashod
483;Manjkovi i provalne kraðe na zalihama i drugim sredstvima
4830;Manjkovi uslijed više sile (provalna kraða, elementarna nepogoda)
4831;Dopušteni manjkovi - kalo, rastep, kvar i lom na zalihama prema odlukama HGK, HOK ili internim aktima
4832;Prekomjerni manjkovi na zalihama (kalo, rastep, kvar i lom) iznad normativa + PDV, prema odlukama HGK, HOK ili interno - skrivene isplate (èl. 7., st. 5. ZoPD)
4833;Manjkovi novca i vrijednosnih papira
4839;Ostali manjkovi iz imovine
484;Kazne, penali, nadoknade šteta i troškovi iz ugovora
4840;Troškovi kazni za prijestupe i prekršaje i sl. (èl. 7., st. 1., t. 7. ZoPD)
4841;Troškovi prisilne naplate poreza i dr. davanja (èl. 7., st. 1., t. 6. ZoPD)
4842;Penali, ležarine, dangubnine
4843;Nadoknade šteta iz radnog odnosa (npr. za neiskorišteni godišnji odmor, zbog ozljede na radu, odštetne rente i sl.)
4844;Nadoknade štete drugim društvima, fizièkim osobama po nagodbama i sudskim presudama
4845;Ugovorene kazne i penali zbog neizvršenja, propusta i sl.
4846;Troškovi preuzetih obveza iz ugovora
4847;Kazne za parkiranje
4849;Ostali izdatci za štete
485;Naknadno utvrðeni troškovi poslovanja
4850;Naknadno utvrðeni troškovi - raèuni iz prethodnih godina
4851;Troškovi naknadnih razlika iz nabava
4852;Ispravak pogrešaka prethodnih razdoblja
486;Darovanje do 2% od ukupnog prihoda
4860;Darovanje za opæekorisne namjene (Darovi u novcu ili naravi do 2% od ukupnog prihoda prethodne godine za kulturu, znanost, odgoj i obrazovanje, zdravstvo, humanitarne, športske, vjerske, ekološke i dr. svrhe - èl. 7., st. 7. ZoPD)
4861;Darovanje za zdravstvene potrebe (darovanje vanjskih osoba do 2% od UP prethodne godine za operativne zahvate, lijeèenja, nabavu lijekova, ortopedskih pomagala i dr. što nije pokriveno osiguranjem - èl. 7., st. 8. ZoPD)
487;Darovanja iznad 2% od UP i dr. darovanja
4870;Porezno nepriznata darovanja iznad 2% UP (za svrhe iznad dopuštenih s raèuna 486) i darovanja inozemnih udruga, ustanova i sl. (èl. 7. st. 1. t. 10. ZoPD)
4871;Darovi (milodari), potpore i dotacije bez protuèinidbe primatelja, te dr. izdatci koji nisu u svezi s ostvarivanjem dobitka (+PDV, osim na novac - èl. 7., st. 1., t. 13. ZoPD)
4872;Darovanje politièkih stranaka i nezavisnih kandidata
488;Troškovi iz drugih aktivnosti (izvan osnovne djelatnosti)
4880;Troškovi iz ortaèkog ugovora
4881;Troškovi iz posredovanja
489;Ostali troškovi - rashodi (èl. 7. ZoPD)
4890;Rashodi utvrðeni u postupku nadzora (èl. 7. st. 1. t. 11. ZoPD) - skrivene isplate dobitka - izuzimanje dionièara èlanova društva i fizièkih osoba (obrtnika) i s njima povez. osobama
4891;Troškovi koji nisu izravno u svezi s ostvarivanjem dobitka (èl. 7., st. 1., t. 13. ZoPD - red. br. 24 PD, npr. amortiz. imov. koja ne služi obavljanju djelatnosti, dodjela vlastitih dionica - udjela i dr.) - porezno nepriznati
4892;Troškovi povalstica i dr. oblici imovinskih koristi (èl. 7., st.1. t.10. ZoPD) - porezno nepriznati
4899;Ostali nespomenuti poslovni rashodi
49;RASPORED TROŠKOVA
490;Raspored troškova za obraèun proizvoda i usluga (prema HSFI 10 i MRS-u 2 i MRS-u 11) - uskladištivi troškovi (na raèune 60, 62 i 63)
491;Raspored troškova za pokriæe upravnih, administrativnih, prodajnih i drugih troškova (na raèune 70 i 71)
